"","date","longitude","latitude","longitudeError","latitudeError","behav","instrument_name"
"1",2003-07-25,242.738095238096,29.1250000000002,0.235238095,0.237500000000001,0,"172419_2003_390167"
"2",2003-07-26,242.512691421048,29.502012796273,1.0074178,0.968317675,0.426771574733252,"172419_2003_390167"
"3",2003-07-27,242.410047982275,29.606885159566,1.097825595,0.975343235,0.628618793873765,"172419_2003_390167"
"4",2003-07-28,242.352269706737,29.6674805217494,1.097607275,1.007947035,0.722239361119337,"172419_2003_390167"
"5",2003-07-29,242.310451199294,29.7035925791865,1.091458305,1.03882131,0.765034173782989,"172419_2003_390167"
"6",2003-07-30,242.281806217746,29.7456798521219,1.0705557,1.08055033,0.784220203748903,"172419_2003_390167"
"7",2003-07-31,242.251254385213,29.7787447132027,1.062952465,1.100085315,0.792610706120982,"172419_2003_390167"
"8",2003-08-01,242.220221210453,29.8086041855256,1.070862135,1.08252144,0.79366572468077,"172419_2003_390167"
"9",2003-08-02,242.181985178167,29.833066507808,1.05455021499999,1.07121818,0.790017392690433,"172419_2003_390167"
"10",2003-08-03,242.137412640961,29.853814186745,1.05009597,1.081218885,0.784498656091242,"172419_2003_390167"
"11",2003-08-04,242.087023789304,29.8702889000055,1.04522857000001,1.096985675,0.779734471152983,"172419_2003_390167"
"12",2003-08-05,242.033824473352,29.886157001394,1.0474059,1.135169465,0.778535022143335,"172419_2003_390167"
"13",2003-08-06,241.978316867888,29.8958651148256,1.06647271,1.226021105,0.787153419168719,"172419_2003_390167"
"14",2003-08-07,241.949331302394,29.9118149046674,1.053677345,1.23889831,0.798814737149006,"172419_2003_390167"
"15",2003-08-08,241.92712306424,29.9341825966037,1.03587838,1.2431543,0.805173473105601,"172419_2003_390167"
"16",2003-08-09,241.912390001863,29.9580678160053,1.05862995999999,1.295963765,0.80853913482382,"172419_2003_390167"
"17",2003-08-10,241.901417645158,29.9860122384529,1.01916853500001,1.28184336,0.809594117762734,"172419_2003_390167"
"18",2003-08-11,241.89306860106,30.0129735975447,1.00572471,1.253254165,0.809391523546787,"172419_2003_390167"
"19",2003-08-12,241.876685716547,30.0411123628304,0.987229314999993,1.22060608,0.808014592035586,"172419_2003_390167"
"20",2003-08-13,241.855216189585,30.0650296472378,0.945399734999995,1.209560125,0.806094499448848,"172419_2003_390167"
"21",2003-08-14,241.829161541845,30.0892311014436,0.929940834999996,1.179114445,0.80487126546299,"172419_2003_390167"
"22",2003-08-15,241.804799098142,30.1159721194698,0.908712320000006,1.184927915,0.804552161752631,"172419_2003_390167"
"23",2003-08-16,241.775718538362,30.1436264948494,0.882314800000003,1.21283351,0.803475318628924,"172419_2003_390167"
"24",2003-08-17,241.747278515441,30.1701099724398,0.922069159999992,1.20577344,0.800805719330083,"172419_2003_390167"
"25",2003-08-18,241.709843268466,30.2001905685774,0.922834964999993,1.229523365,0.799857397700493,"172419_2003_390167"
"26",2003-08-19,241.673302898538,30.2225779914231,0.958932425,1.355578095,0.803781366493007,"172419_2003_390167"
"27",2003-08-20,241.650817128068,30.2353902375094,0.994314739999993,1.30865167,0.805712017607569,"172419_2003_390167"
"28",2003-08-21,241.62913169805,30.2473061796914,1.08511857000001,1.23111543,0.801651587210854,"172419_2003_390167"
"29",2003-08-22,241.605591201181,30.2628952259096,1.15671328000001,1.2045652,0.79239551119284,"172419_2003_390167"
"30",2003-08-23,241.567781934438,30.286780853452,1.20167133000001,1.18471934,0.777179896725007,"172419_2003_390167"
"31",2003-08-24,241.520775812083,30.3190409375021,1.25150664,1.186470865,0.754926477322361,"172419_2003_390167"
"32",2003-08-25,241.461286969993,30.3672907352017,1.32781676,1.221734965,0.725767599777683,"172419_2003_390167"
"33",2003-08-26,241.37572418928,30.429101113452,1.39710362,1.491335445,0.694069697228673,"172419_2003_390167"
"34",2003-08-27,241.277742229686,30.5032929076594,1.49020188,1.63909968,0.660368101699417,"172419_2003_390167"
"35",2003-08-28,241.13988869841,30.5999149477577,1.556945445,1.76823312,0.624898395370616,"172419_2003_390167"
"36",2003-08-29,240.93216904083,30.7274478096196,1.571101645,1.85298979,0.607178148309694,"172419_2003_390167"
"37",2003-08-30,240.734965238134,30.8511737214888,1.49956328499999,1.742471795,0.617908056967991,"172419_2003_390167"
"38",2003-08-31,240.560070578951,30.9434727335669,1.38689856500001,1.77139586,0.643967781979025,"172419_2003_390167"
"39",2003-09-01,240.41866494962,31.0103945672233,1.30760275999999,1.704161935,0.670305591844126,"172419_2003_390167"
"40",2003-09-02,240.289187345466,31.0665890271706,1.26996597,1.597692615,0.692020416219864,"172419_2003_390167"
"41",2003-09-03,240.186966374186,31.1125032363137,1.234263515,1.45591509,0.708657870711973,"172419_2003_390167"
"42",2003-09-04,240.080326681617,31.1450363382003,1.247273455,1.21732401,0.728162192023904,"172419_2003_390167"
"43",2003-09-05,240.000511120828,31.1628146457735,1.34348127999999,1.099644795,0.754259885104097,"172419_2003_390167"
"44",2003-09-06,239.944668392581,31.1650921013274,1.352562925,1.02957868,0.776227584909452,"172419_2003_390167"
"45",2003-09-07,239.904769706682,31.1635360569971,1.37313794000001,0.975243345000001,0.792201830382949,"172419_2003_390167"
"46",2003-09-08,239.868443649061,31.171088227088,1.36874713500001,0.930448635000001,0.803696372902606,"172419_2003_390167"
"47",2003-09-09,239.841538174536,31.17907263714,1.40645112,0.909469525,0.812447449330578,"172419_2003_390167"
"48",2003-09-10,239.823011344598,31.1881294121861,1.452172885,0.890264355000001,0.817427024319554,"172419_2003_390167"
